🙂,🙂,맛있어요 
굿,간장치킨 존 맛. 가맹점인 줄 알아는데 아니네...십수년전에 배달로 잘시켜먹었는데.우연히 발견해서 포장함. 네이버 전화하면 안됨. 재구매의사 충분함.,예전에 회식때 가보고 너무 좋았어서 이번에 미사에 새로 생긴 진대감에 엄마랑 같이 다녀왔어요! 그때 그맛 그대로 정말 맛있었습니다ㅠ매장도 깨끗하고 뷰도 좋아서 엄마도 만족💓 나중에 엄마가 친구들이랑도 오고 싶다고 하더라구요ㅎㅎㅎ
회는 맛있었구요. 회위주로 먹고 싶었는데 회추가가 안되서 매우 아쉬웠어요. 스끼다시는 말그대로 스끼다시만큼 나왔어요.(평소 회를 좋아해서 스끼다시를 중요하게 생각하지않아요^^;;)다시 방문해서 회를 좀 넉넉하게 먹고 싶네요.,진미사포구 회가 맛있고 스키다시 다 맛있어요😃 미사 숨은 맛집이네요😆 미사 어설픈 횟집보다 정말 베리굿입니다🙂,매장도 청결하고 가격도 착한데 한입먹자마자 너무 맛있어서 놀랐어요해물빼쉐가 진짜 한입에 이집 맛집이구나를 느꼈어요 불맛이 느껴지면서 칼칼한맛에 계속 손이 갔어요지하 주차장도 차량 주차하기 편했구 직원분들도 친절하셔서 좋았어요저녁시간에 방문했는데 다행히 사람이 없어 바로 식사할수있었어요매장도 넓고 청결해요
불맛 가득이고 너무 맛있어요~~~🔥🔥커플세트로 두가지맛 주문했는데 양 진짜 많고 푸짐해서 둘이서 배터지게 먹었어요!!!특히 쪽갈비 칼집 내주셔서 뜯어먹기 편해서 좋았구 양념 맛이 중독성 갑이예요 👍👍포장해서 갖고왔는데 사장님도 엄청 친절하시고 매장이 청결하더라구요✨밥 비벼먹으면 짱맛!!!!!!담에 또 맛있는 쪽갈비 땡기면 무조건 주문해먹을게요~~,좋아요,건강검진 받고 첫 끼로 먹었는데 최고의 선택이었습니다 🥹💗
굿,맛있어요,가성비최고! 맛최고! 차로 20분 달려 항상 포장해서 먹습니다.변함없는 맛! 알찬고기!! 너무 잘 먹고 있습니다. 친절하기까지한 사장님!번창하세요❤️
저는 5호를 시켰는데 생각보다 맛있었고 사장님이 친절하셔서 좋았어요. 또한 포장을 했음에도 바삭바삭했습니다. 가격도 괜찮은 편이어서 다음에 또 사 먹을 예정입니다. 가실 분들은 여기 현금결제하면 혜택이 있으니 꼭 현금 가져가세요~,저렴하고 맛있어요 ,드뎌 울동네에도 생긴 최애맥주집 김복남맥주!60시간 숙성시켜 만드시는 수제맥주에 저렴하고 고퀄인 안주가 50여개 있는 최신상 핫플💓오늘은 맥주맛 비교해보려고 일반생맥주와 수제맥주시켰답니디. 톡 쏘는 짜릿함이 살아있네용.감바스는 너무 크고 통통한 새우가 넉넉한 올리브유안에 맛나게 담겨있어 빵찍어 먹기 좋았구요. 해장떡볶이는 절로 속이 풀리는 매운맛의 연속!직원분들 서비스도 훌륭한데 파인애플 샤벳까지 서비스안주로 내주시네요👍부담없이 먹기 딱 좋은 맥주맛집. 안주맛집..자주 올거 같아요
상처받을것도 없어요 !!자!!어쩌다보니 하남미사! 불편함 없이 살고 싶은 도시 도약하고 싶은 도시 하남으로 알고 있습니다!!꼬치 먹고 도약 할뻔😂 혼자 편하게 조용하게 먹고 가기 좋은 쉼터같은 토리아에즈🤭 그럼 이만~~!!👍👍,꼬치전문집인데 나름 맛있네요.하이볼도 맛있네요~양이 많은 메뉴는 아니예요.밥먹고 술마시러 가는 집이예요~,여기 식빵 너무 맛있어요~전 항상 단호박으로 먹고 있어요~감사합니다~
회사앞이라 직원들이랑 매주 다니는데 순대국 메뉴 뿐만이 아니라 육개장도 너무 맛있네요 ! 양도 실하고 당면도 많고 양이 아주많아요 가성비도 대박입니다 ㅎㅎ 김치도 맛있고 갈때마다 직원분들 웃으면서 반겨주시는데 단골집입니다 ! ,가성비 미친 순대국 찐맛집 계경순대국 완전 감동 그 잡채입니다. 고기 듬뿍 포함된 순대국이 정말 찐이었어요. 토실토실한 선지 가득한 선지해장국도 추천이요👏 ,한마리 만천원 / 한마리반 만오천원치킨 이만원시대에 이런 가게 없습니다가성비 최고 우리동네 찐찐맛집 다른메뉴도 다 맛있어요 😆
혼밥이 돼서 좋아요! 낙지 맛있고 모든 반찬과 국 밥 다 셀프 추가로 먹을 수 있어서 너무 좋았어요. 친절하시고 맛 좋네용. 가성비 이만한 집 찾기 힘들어요. 잘 먹었습니다~~ 담에 또 올게영,낙지덮밥 가성비 좋아요 이용하는 나이대가 많아서 그런지 낙지볶음이 덜 매운편인거같아요!,언제나 맛있고 신선한 한쌈💕 직접 먹어보니 리뷰 남기고 싶을정도로 맛있어서 리뷰 남겨요~ 어제 오늘 두부 먹었는데 양배추랑 야채도 맛있어요! 추천~!!
마른안주랑 떡볶이 등등 안주들이 2차로 가기 좋아요~ 예쁜 피규어도 많고 아기자기하게 꾸며놓으셨어요^^,좋아요,부대짜글이 맛있어요~~ 계란말이도 엄청커요...!! 집근처에 있고 늦게까지해서 좋아요 다음엔 다른메뉴도 먹어볼게요~~👍👍
맛있어요 꽃오징어가 있어서 좋아요다만 직원분들 조금.. 불친절하셔요,재료를 고른 직후 음식이 바로 나와서 좋았습니다!사장님도 친절하시고 맵기도 센스있게 맞춰주셔서 맛있게 잘 먹었습니다! 음료수도 서비스로 주셔서 감동했던 방문이었답니다 :) 🫶🩷🩷,돈까스 특유의 홍익맛이 맛있어서 가끔 방문해요
맛이 없어도 너무 없어요ㅠ온라인 쇼핑몰에서 밀키트 사서 먹어도 이것보다 맛있겠어요치즈2인셋트 4만원넘게 주고 먹을 맛이 도저히 아닙니다 심지어 치즈도 아무 맛이 안나요 그나마 볶음밥은 먹을만 했어요 내인생 통틀어 젤 맛없는 닭갈비 였습니다,리필가능한 야채및부식 셀프바가 있어 좋았어오.맛은 그리 나쁘지않은.볶음밥이 맛있었어요,맛있게 잘 먹었습니다일반식사메뉴를 먹어도 좋을것 같아요반찬이 정말 맛있어요 
고기듬뿍쌀국수 파인애플볶음밥 최고이보다 맛난 곳이 미사에 있을까요? 특히 파인애플 볶음밥의 불맛으로 입맛이 돌아오네요~~~,전에 방문했을 때보다 더 맛있어진 것 같아요! 모닝글로리도 똠얌꿍도 너무너무 맛있었고 새우 빼달라고 하는 요청도 들어주셔서 감사했어요! 모닝글로리는 남아서 포장 해왔는데 1인세트에 모닝글로리도 나왔으면 좋겠습니당 ㅎㅎ,추석연휴라 부모님아기데리고 갈만한 식당없나 찾다가 발견하고 네이버 예약하고 갔습니다. 일단 입구에서 엘베가 없는거보고 처음에 당황스러웠는데.. 그냥 올라갔습니다(!) ㅎㅎ😅😅직원분 친절하시고 음식도 빨리나오는 편이에요✔️아기랑 같이 가서 인지 자리도 한가한데로 먼저 빼놔주셔서 감사했어요 아기의자도 깨끗했고요!!☺️☺️☺️일단 홍합이랑 조개 양이 많아서 너무 만족했구요!양이 많은데 가격이 너무 착해서 다음에 또 오려구요!!해물파전도 맛있어요! 그리고 진짜 착한 가격🥹🥹👍🏻👍🏻👍🏻 ++)) 리뷰이벤트는 음료수하나 주시더라구요💕근데 주문후 작성하니 먼저 주문들어간거라 음료값안빼주신다니까 후기 작성 먼저하고 주문해서 받아가세요ㅠㅠ
고기 맛있어요. ,맛납니다 맛집을찼았어요 미사역쪽이라 이쪽을 잘올일이 없어서 몰랐는데  생갈비 맛집이에요!ㅎ,부모님 모시고 다녀왔는데 너무나 만족스러운 식사였습니다. 일하시는 분들도 너무 친절하시고 맛이나 양이나 어느하나 모자람없이 푸짐하게 잘 먹고 왔네요. 날도 더워지고 기운도 없었는데 몸보신 제대로 하고왔어요. 조만간 또 가려고용. 잘먹었습니다 😀
추석연휴 끝나고 지난주 토요일날 저녁먹으러 가족들과 왔고 오리구이 로스 고추장불고기 모두 맛있게 잘먹었습니다~설거지할때 좀 큰소리가 나서 좀 놀랐지만 양도 많고 든든합니다~,맛있어서 군침도네요 싱싱한 오리 반찬도 다 맛있고  신선 로스도 너무~~ 맛있고 양념도 너~~ 무맛있어요미나리에 싸먹으면 굿 !!오리도 맛있지만   여기 하이볼은 엄마들 사이에 인기 좋아요오리탕도 입소문 타서 유명합니다 !!,술이 술술 들어가는 매운 갈비찜.. 사장님 너무 친절하신건 말해모해고 계란찜이 기본으로 나오다뇨.. 말 다했죠… 하남에 이런 맛집 생겨서 좋아여ㅠㅠ 내 고향 하남에 이런 맛집이 사장님 오래 장사해주세여ㅠㅠㅠㅠ
친절하고 깨끗하고 깔끔하고 맛있습니다^^,이곳에 오면  돈가스만 먹었었어요.이번에는 크림키레우동 먹어봤는데 너무 맛있게 먹네요.^^돈가스는 여전히 맛있고너무 깨끗하고 사장님도 친절하세요.,깻잎비트파인애플맛살숙주배추버섯어묵만두라이스페이퍼꼬기단호박쥬스....배가 안 부를순없을까?
좋아요,사진과똑같이나옵니당,맛있게잘먹었어요^사장님친절하시고샐러드도항상신선하고맛있어요^^잘먹고갑니다♡
유튜브 영상보고 너무 맛있겠어서 혼자라도 가본건데후회 없었습니다~~ 평일저녁 오프시간에 맞춰서 갔는데 이미 자리가 다 찼더라구요..!! 다행히 자리가 있어서 웨이팅은 안했는데 인기가 실감났어요!아쉽게도 치마살은 솔드아웃이라 못먹어보고ㅠ갈비살 소금이랑 양념 주문했는데 둘 다 우열을 가릴 수 없지만.. 개인적인 취향으로는 소금구이가 더 맛있었습니다😋,유튜브 영상보고 너무 맛있겠어서 혼자라도 가본건데후회 없었습니다~~ 평일저녁 오프시간에 맞춰서 갔는데 이미 자리가 다 찼더라구요..!! 다행히 자리가 있어서 웨이팅은 안했는데 인기가 실감났어요!아쉽게도 치마살은 솔드아웃이라 못먹어보고ㅠ갈비살 소금이랑 양념 주문했는데 둘 다 우열을 가릴 수 없지만.. 개인적인 취향으로는 소금구이가 더 맛있었습니다😋,ㆍ
야장 점수에 백점만점 맥주맛에 천점만점 입니다 또 갈게요 사장님 ~.~,야장 점수에 백점만점 맥주맛에 천점만점 입니다 또 갈게요 사장님 ~.~,굿
시그니처 커피 맛있어서 이번달 여러번 먹었어요 오늘 배민으로 시켜서 먹었는데 조금 실망입니다ㅜ봉투 두개중 하나는 하단에 커피 찌꺼기랑 커피 흘린채 굳은게? 묻어있어서 상에 다 묻은데다가커피 두개중 하나는 뚜껑리드가 고장인지 안빠져서 비닐채 뜯는와중 가득차있으니 쏟아지더라고요. (마지막 사진 리드사진 보면 일부가 찌그러져있어요)기분이 언짢았지만 커피맛은 좋아여.. 이런부분은 좀 확인후 개선되면 좋겠다 싶어 리뷰 남깁니다!  번창하세요!,커피맛집맞네요ㅎㅎ인테리어도예쁘고 분위기도좋고 친구와함께 와서 친목하기 너무좋습니다다음에 에그타르트도 먹고싶네요 다음에또 올예정이예요,뼛칼이란 메뉴가 특이하네요 맛도 있고 ㅎㅎ칼국수와 뼈의 만남 음 특히 해장국 베이스에 잘 어울리는듯담엔 다른 메뉴도 먹어봐야할듯 정통 뼈해장국 도전 고고~~~❤️❤️👍🏼❤️❤️👍🏼
날이 더운데 매장이 깔꼼하고 시원해요...!!저는 클래식을 오늘 시켜먹었는데남편은 새우 버거도 맛있다고 했어요.미사 버거 중에는 원탑 아닐까합니다맛과 가격 매장 내에 깔끔함 다 좋아요게다가 세심하게 소스도 머스타드까지 구비되어있어서 입맛에 맞춰서도 먹을 수 있어요!!,네슈빌을 먹어봤는데 튀김이 정말 바삭하고 좋았어요,식전에 주신 양송이스프도 맛있고 물쫄면도 아주 시원하고 맛있었어요~ 사장님 내외분이랑 따님도 너무 친절하셔서 도서관 왔다가 기분 좋게 먹고 갑니다:)
불족발은 여기가 가장 맛있어서 오래전부터 포장해서 먹고있어요. 매워도 계속 떙기는 불맛이에요.,불족발은 여기가 가장 맛있어서 오래전부터 포장해서 먹고있어요. 매워도 계속 떙기는 불맛이에요.,돼지가 칠레산 이라고 적혀 있는데 먹어보면 국내산하고 별차이 없음..가성비 좋은것 같음..
좋아했던 불스지 맛집이 사라져서 찾다가 방문했어요 치즈도 좋아해서 추가했고 커플 둘이먹기엔 양이 엄청 많아요! 불에 졸이면 졸일수록 맛있어져요👍,진짜 왜 이제야 왔는지 ㅠ~~~  너무너무 맛있게 잘먹었어오ㅡㅠ 술안주로 최고!!!!  부들부들하고 국물맛잇 진짜 느끼하지않고 시원하면서 술을 부르는 맛~~!!  육수추가도해주셔서 넘 좋아요~~~ 그리고 더좋은게 부족하면 사리를추가해서 먹을수있어 넘좋앗어요!!!!!  단골할래요~~!,#어무이맛 양평 해장국 #어무이맛 양평 해장국 분점#어무이맛 양평 해장국 하남점어무이맛 양평 해장국 양평 본점으로 다니다가 멀어서하남점 이 있길래 다녀왔는데 별로네요 역시 형 만한 아우 없다는 속담처럼 어무이맛 양평 해장국은본점이 역시나 맛있네요 멀어도 양평 본점으로 가야 겠네요 하남점 분점은 뭔가 2% 부족하고 건더기 양도 많이 작고선지도 딱딱 하네요
점심에 갔는데사람없고 고기도 빨리 구워주시고채소랑 필요한 것들 요청드리면 바로바로 해주셔서편하게 잘 먹고 왔네요!!!😄👍🏻,라무진 많이 다녀봤지만 매장이 가장 넓은 듯 하고콜키지 가격 너무 착해요❤️❤️,맛은 사진으로 대신합니다. ㅎㅎ음식이 건강한 맛입니다.자극적으로 짜지않고 간이 적당한 건강한 맛이에요매장의 테이블 간격이 엄청 넓어서 쾌적하고재방문 하겠습니다!!
맛있어요,꼬들살 등 고기도 엄청 맛있지만 저는 이집 껍데기랑 꼬리가 너무 맛있습니다. 배불러서 남은 고기를 구워서 집에 가져왔는데 다음날 남은 껍데기를 데워 먹고 눈이 번쩍! 사장님 친절하시고 주차는 다소 협소하니 미리 문의하고 가시면 좋아요.,날씨추운날은 따끈한국물있는 해장국이 먹고싶어서애아버지와 점심을 먹었어요!!추운날에는 해장국이 최고예요 ♡국물도 너무맛있구 시래기도잘삶아졌는지 질기지않구요 순살이라 먹기도편하더라구요~~해장국에밥말아서 먹으니 저녁까지든든할것같아요매장도 깨끗해서 더맘에들었어요!!사장님도 너무친절하셔요♡또방문할께요~~
좋아하는 철길 부산집! 하남미사점은 처음 방문했는데 다른 지점들 보다 메뉴들이 기대이상이더라구요~ 날씨도 좋아서 테라스 자리가 너무 좋았어요. 미사문화거리에서 꽤나 맘에 드는 술집입니다^^(물회가 맛있음!!!) 다음에 또 올게요~~ 알바생이 잘 생겼어요~~😎,안주술사진을 못 찍었지만 손님 많고~순살치킨가라아게!!!대존맛~~바삭바삭 넘 맛있엉♡다음엔 사진도 찍어서 리뷰할게영^^,직접 구워주시는 서비스로 탄력있는 식감의 양과 살짝 양념한 대창의 고소한 기름맛이 아주 좋다. 마무리로 진한 멸치육수의 잔치국수까지 확실한 임팩트가 새겨지는 곳이고 많은 사람들이 같은 공간에서 회포푸는 모습도 진풍경이다.since 1972
튀김 옷이 많았고 혼자 먹기에는 양이 많았습니다.사장님 혼자 일하셔사 바빠 보였습니다.,굿입니다,내돈내산 입니당 끝내주게 맛있는 숯불 돼지 특수부위 구이집 발견했습니다!!여기는 한 번 오면 무조건 또 올 것 같아요 ㅎㅎ우선 상추무침 파채무침 즉석에서 바로 해주시는데 너무 맛있구요!고기도 신선하고 질이 정말 좋아서 항정살 황제살 꼬들살 다 너무 맛있습니다!+ 사장님이 정말 친절하셔서 먹는 내내 편하고 기분좋게 식사 했습니다! 이렇게 씩씩하고 열심히 해주시는 좋은 마인드의 사장님은 성공해야한다는 생각을 했습니다!여기 꼭 와보세요~! 저도 또 올거에요 추천해요 ㅎㅎ
사진을 안찍은게 너무 아쉽네카톡쿠폰으로 순살후라이드 주문.추가로 순살양념 현장결재 해서두마리 포장.양념을 박스두곳으로 나누어 포장해줬고쿠폰후라이드는 종이봉투에 한번에 담음.양념은 박스에 바닥보다 너비는 같고 길이만 1cm정도 길게 호일 깔고 닭 투하.두 아들이 먹고 난 쓰레기 치우는데 박스까지 양념이 다 묻어서 버리기 애매함.양념은 그나마 괜찮았는데봉투에 넣은 후라이드는 조금 과장하면 부스러기 수준.껍질튀김을 잘못준건가 의심스러울지경.쿠폰태문에 시켜봤는데다신 안갈래.,찬절하시구.. 청양치킨 매콤하고 맛나요. 마늘치킨은 알싸한맛이 심해서 청양으로 갈아탔어요. 그런데 소스양이 좀 부족해요,맛있게 잘 먹고 가요~~~안주도 맛있고 분위기도 좋습니다^^
맛있어서 좋아하는곳 오면 종종 먹어요!추천!,맛있어서 좋아하는곳 오면 종종 먹어요!추천!,디리포소 생겼을때부터 좋아해서 자주는 아니여도 1년에 2번은 갔었는데요. 갈때마다 맛있다고 느껴 손님들 올때 다른곳 안가구 갔었어요~! 그런데 오늘만 그런건지 파스타 2개 맛에 실망했어요 ㅜㅜ 면은 뚝뚝 끊기고 토마토 파스타는 간도 안베어있고 알리오올리오도 기존보다 양념이 적어 별 맛이 느껴지지 않았어요. 고르곤졸라 피자는 맛있었는데.. 혹시 쉐프님이 바뀌신건지! 예전 맛이 다시 나오길 바래봅니다!!
쭈꾸미 불맛 짱!!밑에 깔린 누룽지 완전 맛있어요,맛있어요,정갈한 집밥이에요! 모든 메뉴 하나 하나가 깨끗하고 단정합니다!
동래정은 말해뭐해~~ 너무 맛있어요!!👍🏻 가브리살은 동래정이 최고!!👍🏻 멜젓조림도 너무 맛있고 더덕구이도 짱맛!! 복분자 하이볼도 달달하니 맛있어요!👍🏻,구워주는 고깃집이라서 방문해봤는데 넘 편하고 고기도 맛있어서 좋았어요! 종류별로 하나씩 다 먹었는데 제 원픽은 목살이에요!! 진짜 넘나 부드럽고 맛나요👍🏻,둘이서 술도 안먹구 음식만 먹었는데 너어무 맛있었어요!! 
두번째 방문입니다.스마트스토어에 원두 올라온거 보고 커피 맛도 볼겸 직접 방문했어요.커피도 크루키 너무 맛있었어요. 손수 볶은 원두를 갈아 핸드드립으로 사장님이 직접 내려주신 커피 맛이밸런스도 잘 잡히고 구수한 맛의 첫번째 커피와산미가 올라오면서도 커피 향이 입안을 채워주는 맛에 기분이 너무 좋았어요.오며가며 자주 들릴게요.,지나가다 인테리어가 너무 멋있어 들어와봤어요~오늘의 커피를 마셨는데 꿀고구마와 망고의 향연이었습니디 ㅎㅎ 향이 진짜 고구마같은 향이 나고 고구마 맛이 나는 거 같았어요 넘 맛있게 잘 마셨습니다~사장님이 인테리어도 직접 하셨다는데 너무 센스넘치고 공간이 예뻐요~~ 특별한 커피와 멋진 공간이 주는 콜라보로 좋은 시간 보냈습니다 ! 번창하세요 ~!,값싸게 한 끼 먹기는 그냥 괜찮아요.
아주맛있어요,우리동네의 자랑!!!!ㅋㅋ부어치킨♡ 맛은 당연 좋고 아이들과 오기도 좋아요:),전골 짱 맛있어요.
포장으로 가져왔는데 사장님도 친절하시고 베스트세트2번 너무 맛있어요^^다음에도 또 주문하겠습니다,쫄면 너무 맛있어요 ,인테리어가 너무 맘에 들었음!! 원두 맛부터 컵 디자인까지 딱 내스탈임!! 담에 또 갈께요~
신선하고 넉넉한 재료로 만들어 주셔서 맛있게 먹었어요~,신선하고 넉넉한 재료로 만들어 주셔서 맛있게 먹었어요~,조아요
굿,좋아요,허니 콤보 존맛탱
콘서트 라이브로 보려고 대관했어요. 화면과 온라인 연결이슈로 제대로  못볼뻔 했지만 친절하신 사장님 덕분에 무사히 잘 볼수 있었습니다.😭(다시 한번 감사드려요😭😭)팝콘도 생각보다 맛있어서 놀랐구요.주차도 4시간 무료라 좋았습니다.프라이빗하게 볼수 있었던점이 가장큰 장점이었어요^^,지나갈때 팝콘 냄새🍿가 고소하게 나서 들어갔어요😀오리지널팝콘 소로 주문했는데 가득 가득 담아줍니다. 양이 많아요🤗고소하고 너무 맛있어요.아이가 너무 맛있게 잘먹었습니다🤩매장도 깔끔해서 더 좋았습니다.,맛나요
속전속결 빠르고 맛도 있고 최고네요,처음 먹어본 응큼떡볶이인데 다른 떡볶이 체인점과 다르게 자극적인 맛만 있는게 아니라 매콤 달콤하니 떡볶이 정석의 맛이였어요! 포장해서 먹었는데 배달로도 많이 시켜드시는지 배달기사님들이 엄청 오시더라구요!오랜만에 찾은 미사 떡볶이 맛집입니다ㅠㅠ내장버무리 떡튀순 세트 추천드립니당!!,쌍화차가 제 인생 먹어본중 최고예용꼭꼭 한번드셔보셔야될거같아요.사장님도 친절하시고또먹으러올께요.
고기랑 뼈랑 잘라주셔서 발라먹기 편하고 부드러워요! 양념으로 쪽밥 만들어 먹어도 맛있어요!,불맛 가득이고 너무 맛있어요~~~🔥🔥커플세트로 두가지맛 주문했는데 양 진짜 많고 푸짐해서 둘이서 배터지게 먹었어요!!!특히 쪽갈비 칼집 내주셔서 뜯어먹기 편해서 좋았구 양념 맛이 중독성 갑이예요 👍👍포장해서 갖고왔는데 사장님도 엄청 친절하시고 매장이 청결하더라구요✨밥 비벼먹으면 짱맛!!!!!!담에 또 맛있는 쪽갈비 땡기면 무조건 주문해먹을게요~~,주1회 방문합니다매번 영수증 안받아서 리뷰는 처음 써요음식 다 맛있어요!추천메뉴는 볶음밥!!!! 사진에는 없지만 이게 숨겨진 맛메뉴예요
와우! 이렇게 푸짐한 한상에 솥밥 짱!맛도 굿! 엄청 친절하심회를 제외하고 리필도 해주심보리밥도 있어서 나물들 넣고 비벼먹기 가능상추랑 배추 고추는 셀프바에 있어요재방문의사 100프로,엄마랑 같이 갔는데 춘궁저수지는 이름은 들었는데 처음와봤다 앞에 가게가 크게 있고 주차도 용이했다. 그리고 무엇보다 음식이 너무 손맛좋은신 분이하시는 것 같았다. 반찬도 넉넉하고 모자라면 더 주시고 옆테이블은 계속계속 달라고 했다. 정말 대단했다 반찬을 새로 새밥상을 먹으시는 것 같았닼ㅋㅋㅎㅋㅎㅋㅎㅋㅎㅋㅎㅋㅎㅋㅎㅋㅎㅋㅎㅋㅎㅋ근데 너무 맛있었따. 왜 사람들이 이렇게 그득그득 먹는지 알 수 있는 정갈하고 맛있는 가게 하남 대표 음식점이 되면 좋겠다 👍🏻👍🏻👍🏻,사장님 ㅠㅠ 이렇게 장사하시면 뭐가 남으시죠? 리뷰이벤트 소고기무국에 소고기가 너무 많자나요!! 집앞에 이런곳이 있어서 너무 좋네요~ 육회 양도많고 맛도 너무 있고 담에 또갈게용! 적게 일하시고 많이버세요! 감사합니당> <
웬만해서는 안 좋은 리뷰는 남기지않는데너무 불쾌해서 남깁니다. 처음부터 아무도 없어서 기다리다 사왔는데 사과도 없고 인사도 없고 포장 나와도 가져가든지 말든지 쳐다도 안보네요. 처음에 여자직원분 기다리는 사람 보고도 쓱 지나가서 손님인줄알았네요,돼지김치찌게 9500원라면사리 센스 굿👌김치찌개는 언제나 진리죠😋,추석 연휴의 시작이자 불금입니다입맛이 없길래 신랑이랑 집앞 맛집으로 데이트 왔어요치미창가는 언제 먹어도 예술이고 👍타코도 너무 맛있어서 기분이 많이 좋아요 😍우리동네로 이사와 주셔서 정말 감사해요 오래도록 머물러 주세요 🩷 연휴 잘 보내시고 부자되세요 사장님 또 놀러올께요 🩷
진짜 맛있어요 점심에 소주 한잔에 먹기 최고입니다 김치구이 돼지고기 이거 완전 강추예요 자주 이용할 거예요 감사합니다,김치짜개 맛있네요^^닭갈비도 최고!!!,굿
맛은 있었어요. 구워주셔서 편하게 먹긴했는데주문부터 먹으면서까지 직원분들 친절도는 좋지않네요.친절 교육좀 시켜주세요.아이들과 가기는 좌석 불편해서 분위기 괜찮은 오발탄 갈거같아요.,비싸다고 느껴지긴 하지만 맛있어요 염통  대창 짱. 잔치국수는 슴슴하니 시장에소 파는 맛 김가루없는 맛입니다용,불금 즐기러 예약하고 방문했어요!!!근데도 어찌나 인기 있는 곳인지 웨이팅 ㅠㅠㅠ세광양대창은 다른 지역에서도 찾아갈 정도로 맛있는 양대창이라 미사에서도 즐겨 찾는 곳인데소곱창 안에 곱도 실하고 기본 반찬 자체도 너무 맛있어요💖양밥 안에도 양구이 이렇게 많이 들은 곳은 여기 뿐✨
더노벰버 하남감일점 오픈해서 다녀왔어요!사진 찍을 땐 손님이 많이 없었는데 인기가 많은지 손님이 많아졌어요아직 안되는 메뉴가 있다는데 담에 방문하면 다 있을거 같아요!금욜 저녁에 커피를 마시면서 쉬기 너무 좋았어요☕😌,노멤버 라운지는 너무 너무 분위기 있어요!혼자 음악들으면서 일하면 기분이 좋아요커피도 맛있고안마의자도 있어요(유료)다음에는 더 오래 있고 싶네요!,정말 기대하던 클래식한 버거! 신선하고 맛도 너무 좋네요^^ 앞으로 자주 들리게 될 것 같아요 😊👍
매운 어묵우동이랑 추억의 토마토설탕절임 주문 했씁니당 남편이랑 2차로 종종 오던 곳인데 1차로 고기먹고 느끼하던참에 단번에 여기가 생각나더라구요! 해장으로도 좋고 2차로는 단연 깡우동이에요! 매장도 넓고 서빙하시는 직원분도 친절하셔서 기분좋게 먹었습니당 얼큰 뜨끈 맛있게 잘 먹었습니다 !!,깡우동은 진리우동은 당연히 먹어야지만탕수육 튀김만두 포기 못 해요진짜 맛있어요 추천추천👍,새로운 느낌의 피자에요!!! 맛있는피자 잘먹었습니다 ◡̈
<만족>,크랑이 쵝오,좋아요
여전히 맛나요 특히 고기가 ~입에 쏙~~,엄청 친절하고 맛있는 음식조용하고 편안한 인테리어!모임하기 너무 좋네요!!,😃
먹느라 사진을 못찍었네요 너무 맛있습니다~~,,등심이랑 삼겹살이랑 밥이랑 된장찌개랑 맛있게 잘 먹었어요. 갈때마다 상차림비용이 오르는것 같아서 야채.반찬 안먹는 아이들이랑 가면 부담 되지만 잘먹었습니다.
굿,점심은 늘 독상이지만이 식당에선 편안히 잘 먹어요8000원으로~,사장님 무척 친근하십니다
늘 신선하고 맛있어요  특히 참치김밥이랑 어묵우동 맛납니다매번 대만족합니다  또 올께요 김밥맛집입니다,우동은 면은 짜장면 느낌이고 국물은 잔치국수랑 비슷했어요~돈까스반 우동반 주문했는데 양 엄청많아요~  가성비좋은거같아요~~😀,아파트 단지 상가쪽에 위치한 정보인 국밥이에요.얼큰한 국물도 있고 맑은 국물도 있어서 아이들 데리고 와서 밥먹기도 좋아요! 얼큰한 국물은 해장으로도 딱🫡 한그릇 음식으로 추천해요!
수많은 후기가 증명하듯 미사부대찌개맛집 인정이요~ 저는 부대볶음이 어떤지 궁금해서 부대볶음으로 주문했는데 직원분이 직접 다 볶아주시고 매콤하니 라면사리 추가해서 푸짐하게 먹었어요. 가성비가 좋아서 저렴한 가격에 배터지게 먹고 나왔답니다.,가성비가 미쳤오욤!!!9천원에 재료듬뿍 국물도 찐하고 공깃밥에 라면 당면사리까지❤️치즈랑 버터도서비스로 나와서 맘에들어요!! 🫶 직원분들도 친절해서 넘 기분 좋은 점심식사엿습니다ㅎㅎ,조아요
오랫만에 미사에서 제대로된 정통초밥을 즐겼네요. 모든 초밥이 하나같이 다 신선하고 맛있었어요. 같이 내어주신 홍합국도 넘 개운하고 맛있어서 리필해서 또 먹었어요. 꼭 드세요. 호수공원뷰도 좋고 사장님도 넘 친절하셔서 기분좋았던 곳이었어요.또 올거에요😄,오마카세 코스로 갔고 18가지 정도 나왔어요🫢 마지막에 가라아게도 주셨는데 올릴 수 있는게 20장 뿐이라 패스 여자직원분 넘넘 친절하시구 동네라 크게 기대 안하고 갔던건데 코스 종류가 생각보다 다양해서 놀랐어요! 가볍게 술 한 잔 하면서 먹기 넘 좋습니당💖 그리고 일단 뷰가 짱짱이에요 바에서 도란도란 얘기하면서 먹으니까 아쥬 행복했어요🍀 잘먹었습니다💕,결혼기념일 데이트의 마지막 코스로 갔어요!2인세트가 있어 가성비있게 맛있는 코스요리 잘 먹었습니다! 직원분들도 모두 친절하시고 매장 화장실도 깨끗하고 좋았어요~!
